name,latitude,longitude,inhabitedSince,inhabitedUntil,wikipedia,access,addr.city,alt_name,alt_name.ar,alt_name.cs,alt_name.el,alt_name.en,alt_name.he,civilizations,denomination,desc,description,description.de,description.en,description.he,description.hu,designation,ele,heritage,historic.civilization,historic.era,historic.period,image,image1,image2,image3,image4,image5,image6,image_1,image_2,inscription,int_name,is_in,layer,link,man_made,mapillary,name.ar,name.ar1,name.be,name.bg,name.bn,name.br,name.ca,name.ckb,name.cs,name.de,name.el,name.en,name.en1,name.en2,name.en3,name.en4,name.en5,name.en6,name.eo,name.es,name.fi,name.fr,name.gu,name.he,name.he1,name.he2,name.he3,name.hi,name.hu,name.hy,name.id,name.it,name.ja,name.ka,name.kn,name.ko,name.ku,name.la,name.lt,name.ml,name.mn,name.mr,name.nl,name.no,name.pa,name.pl,name.pt,name.ro,name.ru,name.sl,name.sr,name.tr,name.uk,name.vi,name.zh,name_local,natural,old_name,old_name.fr,place,ref.whc,reference,religion,short_name.cs,site_type,start_date,url,website,website1,whc.criteria,whc.inscription_date,wiki.en,wikidata,wikipedia.en,wpt_description
Medieval town,36.2636919,29.3139759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fortification,,,,,,,,,,
טחנת קמח המופעלת בכוח המים,33.2471466,35.6916864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watermill,,,,,,,,,,,,,Water-Powered Flour Mill,,,,,,,,,,,,טחנת קמח המופעלת בכוח המים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יודפת העתיקה,32.8323135,35.2777328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Yodfat,,,,,,,,,,Jotapata,,יודפת העתיקה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://landmarks.gov.il/%D7%99%D7%95%D7%93%D7%A4%D7%AA-%D7%94%D7%A2%D7%AA%D7%99%D7%A7%D7%94,,,,Q1517688,,
Khirbet al-Batrawy,32.0872236,36.0707917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antique tombs,36.8873049,30.7132355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadınca Höyük,39.106249,34.2880662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İmikuşağı Höyüğü,38.5253795,38.4503904,,,tr:İmikuşağı Höyüğü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6101616,,
Roman Cemetery,37.6563629,30.523248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castle,36.6181222,29.1129881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mopsos Harabesi,36.9578521,35.6237493,,,,,,"Mopsos, Seleukeia pros ton Pyramon, Mamistra, Hadriana, Decia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruin of Mopsuestia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נפח,33.0616646,35.7394295,,,he:כפר נפח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naffach,,,,,,,,,,,,נפח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sos Höyük,39.9937275,41.5222877,,,tr:Sos Höyük,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6097131,,
Ծիծեռնակաբերդ,40.1881744,44.4860122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwalbenfestung,,Tsitsernakaberd,,,,,,,,,,,,,,,,,,Ծիծեռնակաբերդ,,,,,,,,,,,,,,,,,,,Мемориальный комплекс Цицернакаберд,,,,,,,,,,,,,,,,,,,,,,,,,Tsitsernakaberd,
Nevali Çori,37.5251297,38.5832859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מי קדם,32.5547154,35.0060783,,,,,,פארק אלונה - מי קדם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mey Kedem,,,,,,,,,,,,מי קדם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קתדרלה,32.7779126,35.6606712,,,,,,,,,,,,,,,קתדרלת העיר,,,קתדרלת העיר,,,,,byzantine,,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Israel_Hiking_Map_קתדרלה.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathedral,,,,,,,,,,,,קתדרלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domuztepe Höyüğü,37.3210235,37.03569,,,tr:Domuztepe Höyüğü (Kahramanmaraş),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4165990,,
Olive oil squeezer rock,36.6427917,31.7660271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Giant's Walls,31.5244376,35.1015078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Giant's Walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuvacalı Yerleşim Höyüğü,37.5558953,39.014309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,Yuvacalı Settlement Mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiochia Termae,36.1543779,32.4271709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Bath,37.1497319,38.7828389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חירבת כסכס,33.0642757,35.2610076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaskas,,,,,,,,,,,,חירבת כסכס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חירבת משמש,33.0705514,35.2538786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mishmes,,,,,,,,,,,,חירבת משמש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumphal arch,35.5138802,35.7819961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triumphal arch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
جوزانة (ثقافة خلف),36.8267852,40.0396697,,,en:Tell Halaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جوزانة (ثقافة خلف),,,,,,,,,,,Gozana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гузана (халафская культура),,,,,,,,,,,,,,,,,,,,,,,,Q2142541,,
تل موزان,37.056805,40.9974414,,,ar:تل موزان,,,أوركيش,أوركيش,,,,,,,,,,,,,تل موزان,,,,,,,,,,,,,,,,,,,,,,تل موزان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girê Mozan-Orkiş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1758030,,
Ain Diwar Bridge,37.314535,42.2158069,,,en:Ain Diwar Bridge,,,,,,,,,,,,,,,,,,,,ancient_roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4697337,,
Hititlilerden kalıntılar,38.2426371,36.9140376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בית גוברין,31.5979099,34.8976497,,,he:בית גוברין - מרשה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beit Guvrin,Bayt Jibrin,Beit Govrin,Beit Guvrin,Beit Jibrin,Beyt-Guvrin,,,,,Bet Guvrin-Maresha,,בית גוברין,בית גוברין - מרשה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.parks.org.il/reserve-park/%d7%92%d7%9f-%d7%9c%d7%90%d7%95%d7%9e%d7%99-%d7%91%d7%99%d7%aa-%d7%92%d7%95%d7%91%d7%a8%d7%99%d7%9f/,,,,,Q2407530,,
שרידי דרך רומית,31.7664655,35.1442129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Road Ruins,,,,,,,,,,,,שרידי דרך רומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מקדש הנמרים,29.9556309,34.9701207,,,,,,,,,,,,,,,אתר ארכאולוגי משוחזר ובו 12 נמרים/נמרות ופניהם מזרחה. הקבוצה הצפונית מקיפה יעל. ,,,אתר ארכאולוגי משוחזר ובו 12 נמרים/נמרות ופניהם מזרחה. הקבוצה הצפונית מקיפה יעל. ,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Israel_Hiking_Map_%D7%9E%D7%A7%D7%93%D7%A9_%D7%94%D7%A0%D7%9E%D7%A8%D7%99%D7%9D.jpeg,https://upload.wikimedia.org/wikipedia/commons/7/70/IHM_מקדש_הנמרים.jpeg,https://upload.wikimedia.org/wikipedia/commons/8/83/IHM_מקדש_הנמרים_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/8/83/IHM_מקדש_הנמרים_2.jpeg,https://upload.wikimedia.org/wikipedia/commons/a/ab/IHM_מקדש_הנמרים_3.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מקדש הנמרים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archäologischer Park „Durch die Zeiten“,31.7779387,35.2306121,,,,,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,Archäologischer Park „Durch die Zeiten“,,,,,,,,,,,,,,,,,,,„Az időkön át” régészeti park,,,,,,,,,,,,,,,,,,,Parcul arheologic „Timpul”,,,,,,,,,,,,,,,,,,,,,,,,,,,
نفق بلعمة,32.4440934,35.2936779,,,,,,,,,,,,,,,,,,,,أثار,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
خان التجار,32.2192616,35.263834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gökçedere Höyüğü,40.1312547,39.7519345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdu Höyük,36.3307099,36.4445869,,,tr:Tell Kurdu Höyüğü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11036281,,
Kibyra,37.1596051,29.4915765,,,tr:Kibyra,,,Cibyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1643467,,
Hırka Höyüğü,38.9593483,35.4386584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kibyra Minor,36.6928511,31.8846612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בית ראס,32.5867002,35.1298559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beit ras,,,,,,,,,,,,בית ראס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilkitepe Tümülüsü,40.1926915,39.6544811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Age Statues,35.5537583,34.2654025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קתיסמה,31.7392243,35.2127829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kathisma,,,,,,,,,,,,קתיסמה,,,,,,,,Kathisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קלעת אבו-מען,32.8235838,35.4963979,,,,,,,,,,,,,,,"מצודה עות'מאנית מהמאה ה-17 הבנויה על הצוק ונסמכת גם על המערות הטבעיות בו.
במצודה גם שרידים לאתר יהודי קדום מתקופת המרד ברומאים",,,"מצודה עות'מאנית מהמאה ה-17 הבנויה על הצוק ונסמכת גם על המערות הטבעיות בו.
במצודה גם שרידים לאתר יהודי קדום מתקופת המרד ברומאים",,,,,ottoman,,,https://upload.wikimedia.org/wikipedia/commons/4/42/IHM_קלעת_אבו-מען.jpeg,https://upload.wikimedia.org/wikipedia/commons/5/53/IHM_קלעת_אבו-מען_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/9/9f/IHM_קלעת_אבו-מען_2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קלעת אבו-מען,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locality,,,,,,,,,,,,,,,
תל שרע,31.3910856,34.6802292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Sera,,תל שרע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q578876,,
חורבת רוגם,31.0616043,34.5889905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת רוגם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת חשיף,31.2613181,34.6005163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת חשיף,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamares Aqueduct,34.9116647,33.5976795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Αρχαιολογικά ερείπια υδραγωγείου,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת פטום,31.6417752,34.9719899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת פטום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת עדולם,31.6550185,35.0040905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת עדולם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת סבע,31.6644803,34.982709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khirbat Sab,,,,,,,,,,,,חורבת סבע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת אום אל בצל,31.6623489,34.9786922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khirbat Umm el Basal,,,,,,,,,,,,חורבת אום אל בצל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת אם טונס,31.664704,34.9929175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khirbat Umm Tunis,,,,,,,,,,,,חורבת אם טונס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת קובי,31.7282411,35.1200702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horvat Kobi,,,,,,,,,,,,חורבת קובי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת וואלג'ה,31.7422927,35.1498229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חורבת וואלג'ה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת קייאפה,31.6964321,34.9573593,,,he:חורבת קייאפה,,,מבצר האלה,,,,,מבצר האלה,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Israel_Hiking_Map_%D7%97%D7%99%D7%A8%D7%91%D7%AA_%D7%A7%D7%90%D7%99%D7%99%D7%A4%D7%94.jpeg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Israel_Hiking_Map_%D7%97%D7%99%D7%A8%D7%91%D7%AA_%D7%A7%D7%90%D7%99%D7%99%D7%A4%D7%94_2.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Israel_Hiking_Map_%D7%97%D7%99%D7%A8%D7%91%D7%AA_%D7%A7%D7%90%D7%99%D7%99%D7%A4%D7%94_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,Hirbat Qaiyafa,,,,,,,,,,Khirbet Qeiyafa,,חורבת קייאפה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q910323,,
Kerar Kalesi,38.2323271,38.8162547,,,,,,Gerar Kalesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetokremnos,34.5705294,32.9906262,,,en:Aetokremnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1752701,,
Kral Tepe / Vassili Hill Bronze age site,35.5189828,34.309581,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telandros,36.6739083,28.9164353,,,,,,Telandrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.megalithic.co.uk/article.php?sid=31788,,,,,,,
Kyaneai,36.2453857,29.815071,,,tr:Kyaneai,,,Cyaneae;Cyane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Κυανέαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1762663,,
Korba,36.2893765,29.8120068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adada,37.5727959,30.9840624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q346649,,
תל איילון,31.84132,35.023571,,,he:תל איילון,,,,,,,,,,,,"תל איילון הוא תל ארכאולוגי בגובה של 280 מטרים מעל פני הים, השוכן במזרחו של פארק קנדה, כ-1,200 מטרים דרומית-מערבית למבוא חורון.",,,"תל איילון הוא תל ארכאולוגי בגובה של 280 מטרים מעל פני הים, השוכן במזרחו של פארק קנדה, כ-1,200 מטרים דרומית-מערבית למבוא חורון.",,,278,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Kanada-Latrin.png,https://upload.wikimedia.org/wikipedia/commons/7/72/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%90%D7%99%D7%99%D7%9C%D7%95%D7%9F.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/00/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%90%D7%99%D7%99%D7%9C%D7%95%D7%9F_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,Tel Ayalon,,,,,,,,,,,,תל איילון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsameia,37.9432234,38.6546922,,,en:Arsameia,,,Arsameia on the Nymphaios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsameia am Nymphaios,,,,,,,,,,,,,,,,,,,,Արսամեա,,,,,,,,,,,,,,,,,,,,,,Eski Kale,,,,,,,,,,,,,,,,,,,,,Q704167,,
Yavuzeli Dolmen,37.3444607,37.5638916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yalburt Hitit Havuzu,38.454636,31.9787122,,,de:Yalburt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hethitische Teichanlage Yalburt,,Yalburt Hittite Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locality,,,,,,,,http://proteus.brown.edu/yalburt/Home,,,,,Q2599044,,
Djinn Blocks,30.3221541,35.4642445,,,,,,,,,,,,,,,,,,,,,,,,,,https://d1cuyjsrcm0gby.cloudfront.net/D2u6_SmBJPoYHsizGp0RdQ/thumb-2048.jpg,,,,,,,,,,,,,,,https://www.mapillary.com/map/im/D2u6_SmBJPoYHsizGp0RdQ,,,,,,,,,,Geisterblöcke,,Djinn Blocks,,,,,,,,Bloques Djinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת חושם,31.7284649,34.9535439,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Husham mound,,,,,,,,,,,,חורבת חושם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,
hitit kabartması,38.6577551,34.2995238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitit yazılı kaya,38.6492067,34.2897928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
تل سحاكي الاثري,33.082122,44.355241,,,,yes,,تل سحاكي,,,,,,,,,,,,,,,,,babylon,,,,,,,,,,,,,"Tall Saḩākī, تل سحاكي, Tall Sahaki, تل سحاكي","Iraq , جمهورية العراق",,,,,تل سحاكي,,,,,,,,,Tall Sahaki,,Tall Sahaki Archaeological,,,,,,,,,,Tall Sahaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tell,,,,,,,,,,
تل الأبطخ,36.2145244,42.1622211,,,,,,تل الأبطخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tall al Abţakh, تل الابطخ, Tall al Abtakh, تل الابطخ","Iraq , جمهورية العراق",,,,,تل الأبطخ,تل الأبطخ,,,,,,,,Tall al Abtakh,,Tall al Abtakh,,,,,,,,,,Tall al Abtakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
