,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
British Guiana,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,
British Protectorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
British Raj,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,
British Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,
Brothertown,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Broërec,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Brunka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Brunswick,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Brushed Pottery culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buandig,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Budjari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Buganda,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,
Buglé and Ngäbé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bukara Khanate,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Bukurnidja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Bularnu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bulgar Khanate,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Bulgars,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundelkhand,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Bundjalung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bunyoro,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,
Burarra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Burgandy,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Burgunds,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Burma,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,X,X,X,X,X
Burmese kingdoms,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X
Buwayhid Emirates,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,
Buyid Emirate,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyiids,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Byelarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Byzantine Empire,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Bïde,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cabiyari/Kawiyarí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Caddo,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Cahita,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cahitas,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Cahto,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cahuilla,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cahulia,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Calabar,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Caldwell,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Calicuas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Caliphate of Córdoba,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloosahatchee culture,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Caloosahatchee cultureure,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Calusa,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Calvas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Canada,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X
Canela Apanyekrá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Canela Ramkokamekrá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Canichana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cantia,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caohuiltecs,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Cape Colony,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,
Cape Fear,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Carcross/Tagish First Nation (BC),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Carcross/Tagish First Nation (Yukon),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Caribbean hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,
Carnatic,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Carolingian Empire,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascades,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Castile,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Castilla,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Castille,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Catawba,,,,,,,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,,,,,
Caucasian Alans,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caxas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Caxcan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Caxcane,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Cayenne,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Cayubaba,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cayuse,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
"Cayuse, Umatilla and Walla Walla",,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Celtic kingdoms,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Central Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ceylon,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,X,X,X,X,X,X,,,,,
Ceylon (Dutch),,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Ch'orti',,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chachi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Chafan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chagatai Khanate,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Chahta Yakni (Choctaw),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
ChalAt’i’lo t’sikAti (Chalat’),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chalon,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chalukya Empire,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalukyas,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamicuro,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Champa,,,,,X,X,X,X,X,X,X,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Champa City States,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Champagne & Aishihik,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chandellas,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Chango,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chankas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chaná,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chané,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chaparra,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chapra,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Charka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Charrúa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chatot,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Chauhans,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chelamela,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chelan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chelmia,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemapho,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chen-La,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chepenefa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cheras,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheraw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cheroenhaka (Nottoway),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cherokee,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Cherokee (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cherookee,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Chesapeake,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cheyenne,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,
Cheyenne-Arapaho (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chiapaneco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chibuleo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chicaksaw,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Chichas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chickahominy,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chickasaw (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chicora,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chikashsha Yaki (Chickasaw),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Chilula,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chimacum,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chimariko (territory),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chimú,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chimú Empire,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Chinantla (Tsa ju jmí’),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chinese Warlords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Chinese warlords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Chinook,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chiquitano,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chiricahua,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Chiricahua Apache,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chiso,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chisos,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Chit-dee-ni (Chetco),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chitimacha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chitonahua/Murunahua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chochenyo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Choctaw,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Choctaw (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chola,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chola state,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Cholas,,,,,X,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Cholulteca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chono,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chontal de Guerrero – Tuxteco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chopcca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chorotega,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chowanoke,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chtimacha,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Chuds,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Chukchansi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chukchi,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Chumash,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Chūzan,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Ciboney,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciguayo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Circars,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Clackamas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Clatskanie,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Clatsop,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coahuiltecan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coast Salish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coast Yuki,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
CochimÃ­,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Cochimà,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Cochimí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cochin,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Cochin China,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,X,X,X,X,,,,
Coharie,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Colville,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Comanche,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,
Comca’ac (Seri),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Comté de Toulouse,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Confederated Tribes of Grand Ronde,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Confederated Tribes of Siletz Indians,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Confederated Tribes of Warm Springs,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Confederated Villages of Lisjan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Congaree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X
Congo (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Conoy,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
"Coos, Lower Umpqua, Siuslaw",,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Copena,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copuces,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coqs,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Coquille,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Corsica,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Costanoan,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Cotonou,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Couture Complex,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow Creek Umpqua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cowlitz,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Coyutecos (Nahua),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cree,,,,,,,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,,,,,
Crimean Khanate,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Croatan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X
Croatian kingdom,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crow,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,
Cuacasian Albania,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Cuba (Spain),,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Cuica,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cuicuilco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cuitlatec,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cuman Khanates,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Cuman-Kipchak confederation,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Cupeño,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Curonians,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cusabo,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Cushites,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuttatawomen,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Cuxhaven,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Cyprus,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X
Cyraneica (UK Lybia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Cyrenaica,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,
Czechs,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacia,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadi Dadi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dahomey,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,
Dainggatti,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dakeł Keyoh (ᑕᗸᒡ ᗲᘏᑋ),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Danes,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dangbon,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Danggali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Danube Bulgars,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Darfur,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Darkinung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Darumbal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dau Nom Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dau Pom Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Da’naxda’xw Awaetlatla,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Deg Xit'an Ngan' (Deg Xit'an),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dehcho Dene,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Delagoa Bay,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Dena'ina Ełnena,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dendi Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Dene Tha',,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Denendeh (Dënësųłinë́ Nëné),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Deni,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X
Denmark-Norway,,,,,,,,,,X,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Derbent,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Desert hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Dharawala,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dharug,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dhirari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Diaguita,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dieri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Diné Bikéyah,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ditidaht,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dja Dja Wurrung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Djabuganjdji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Djabwurung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Djargurdwurung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Djeoromitxí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,X,X,X
Djirbalngan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Doeg,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dokapuara (Tuyuca),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Dominion of Newfoundland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Doolboong/Miriwoong,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Dorset,,,,,X,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Duchy of Swabia,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumnonia,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumonii,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durdzuks,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Brazil,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Dutch East Indies,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,X,X,X,,,,,
Dutch Formosa,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
